sourceModule,targetModule,edgeOccurrences,callerFunctions,calledFunctions
00-runtime-foundation.js,18-water-fishing-boats.js,1,resetMobilityForRoomChange,cancelFishingSession
00-runtime-foundation.js,20-world-build-cloud-houses.js,1,resetMobilityForRoomChange,exitBoat
00-runtime-foundation.js,21-interactions-shop-social-races.js,2,clearRemoteRoomEntities | resetMobilityForRoomChange,exitHouse | reconcileCloudHouses
00-runtime-foundation.js,24-construction-system.js,1,resetMobilityForRoomChange,exitVehicle
00-runtime-foundation.js,25-render-init-resize-position-collision.js,1,resetMobilityForRoomChange,endBuildMode
00-runtime-foundation.js,26-input-player-physics.js,1,resetMobilityForRoomChange,clearMovementInputs
00-runtime-foundation.js,28-multiplayer-social-online.js,2,clearRemoteRoomEntities,closeChallengePrompt | updateMultiplayerBadge
00-runtime-foundation.js,29-game-loop-controls-gamepad.js,3,clearRemoteRoomEntities | mapRegionsMarkup,applyCloudWorldObjects | escapeHtml | refreshOpenSocialHub
01-build-persistence.js,00-runtime-foundation.js,5,applyRoomWorld | focusCurrentRoom,clearRemoteRoomEntities | resetMobilityForRoomChange | roomWorldInfo
01-build-persistence.js,02-state-save-cloud-account.js,1,applyRoomWorld,saveState
01-build-persistence.js,03-ui-modal-install-pwa.js,2,applyRoomWorld | focusCurrentRoom,toast
01-build-persistence.js,06-missions-profile-hud-inventory-tools.js,1,applyRoomWorld,updateHUD
01-build-persistence.js,07-navigation-traffic-routes.js,4,applyRoomWorld | focusCurrentRoom,buildRoutePoints | updateNavigation
01-build-persistence.js,08-map-parent-settings.js,1,applyRoomWorld,refreshOpenMapAfterResize
01-build-persistence.js,26-input-player-physics.js,2,applyRoomWorld,rememberSafePlayerPosition | safePointNear
01-build-persistence.js,28-multiplayer-social-online.js,1,applyRoomWorld,updateContext
02-state-save-cloud-account.js,01-build-persistence.js,7,commitState | mergeCloudProgress | normalizeState,applyBuildTombstones | mergeBuildCollections | mergeBuildTombstones | mergeEntityCollections | normalizeBuildTombstones
02-state-save-cloud-account.js,03-ui-modal-install-pwa.js,1,mergeCloudProgress,toast
02-state-save-cloud-account.js,04-education-daily-quiz.js,4,commitState | loadState,ensureDailyChallenges | updateDailyBadge
02-state-save-cloud-account.js,06-missions-profile-hud-inventory-tools.js,15,commitState | loadState | mergeCloudProgress | syncCloudProgress | syncGameAccount,applyPlayerName | hasValidPlayerName | sanitizePlayerName | updateHUD | updateLobbyStats | updatePlayerNameUI
02-state-save-cloud-account.js,25-render-init-resize-position-collision.js,1,mergeCloudProgress,reconcileWorldBuilds
03-ui-modal-install-pwa.js,02-state-save-cloud-account.js,9,addCoins | addReputation | addXP | awardMedal | isOfficialOtthiGameAddress | openAccountCenter | setFlag,accountLinked | saveState | syncGameAccount
03-ui-modal-install-pwa.js,06-missions-profile-hud-inventory-tools.js,5,addCoins | addReputation | addXP | openAccountCenter | setFlag,evaluateMissions | openPlayerNameModal | updateHUD
03-ui-modal-install-pwa.js,18-water-fishing-boats.js,2,closeModal,cancelFishingSession | stopFishingVisual
03-ui-modal-install-pwa.js,20-world-build-cloud-houses.js,1,closeModal,clearExtensionPreview
03-ui-modal-install-pwa.js,23-vehicle-effects-driving.js,1,closeModal,startEngineSound
03-ui-modal-install-pwa.js,25-render-init-resize-position-collision.js,1,openModal,scheduleStableResize
03-ui-modal-install-pwa.js,29-game-loop-controls-gamepad.js,2,openAccountCenter | openAccountForm,escapeHtml
04-education-daily-quiz.js,02-state-save-cloud-account.js,5,claimDailyQuest | ensureDailyChallenges | finishSoloEducationGame | trackDaily,saveState
04-education-daily-quiz.js,03-ui-modal-install-pwa.js,21,claimDailyQuest | finishSoloEducationGame | openEducationHub | runEducationGame | startSoloEducationGame | triggerEmote,addCoins | addReputation | addXP | awardMedal | beep | openModal | toast | vibrate
04-education-daily-quiz.js,06-missions-profile-hud-inventory-tools.js,1,openEducationHub,playerDisplayName
04-education-daily-quiz.js,28-multiplayer-social-online.js,1,startSoloEducationGame,closeChallengePrompt
04-education-daily-quiz.js,29-game-loop-controls-gamepad.js,5,openEducationHub | runEducationGame,escapeHtml | openSocialHub
05-avatar-life-customization.js,02-state-save-cloud-account.js,1,openAvatarStudio,saveState
05-avatar-life-customization.js,03-ui-modal-install-pwa.js,10,openAvatarStudio | openCollection | openHow | openLifePanel | openMolds,closeModal | openModal | setFlag | toast
05-avatar-life-customization.js,04-education-daily-quiz.js,1,openQuiz,openEducationHub
05-avatar-life-customization.js,06-missions-profile-hud-inventory-tools.js,3,openAvatarStudio | openMolds,playerDisplayName
05-avatar-life-customization.js,12-world-resources-nature.js,1,openAvatarStudio,applyAvatarCustomization
06-missions-profile-hud-inventory-tools.js,02-state-save-cloud-account.js,5,applyPlayerName | equipTool | openInventory | pinChapter | updatePlayerNameUI,accountStatusText | saveState
06-missions-profile-hud-inventory-tools.js,03-ui-modal-install-pwa.js,12,applyPlayerName | equipTool | evaluateMissions | openInventory | openObjectivesPanel | openPlayerNameModal | pinChapter,addCoins | awardMedal | closeModal | openModal | toast
06-missions-profile-hud-inventory-tools.js,07-navigation-traffic-routes.js,1,equipTool,refreshEquippedToolVisual
06-missions-profile-hud-inventory-tools.js,22-careers-jobs-uniforms.js,2,openObjectivesPanel | updateMissionHUD,activeJobProgress
07-navigation-traffic-routes.js,02-state-save-cloud-account.js,1,updateNavigation,saveState
07-navigation-traffic-routes.js,03-ui-modal-install-pwa.js,6,openToolbelt | playToolAnimation | updateNavigation,beep | closeModal | openModal | toast | vibrate
07-navigation-traffic-routes.js,06-missions-profile-hud-inventory-tools.js,2,openToolbelt | routeSvgMarkup,equipTool | playerDisplayName
07-navigation-traffic-routes.js,08-map-parent-settings.js,1,routeSvgMarkup,worldToMap
07-navigation-traffic-routes.js,11-render-materials-player-model.js,8,createRouteGuide | refreshEquippedToolVisual,box | mat | renderMat
07-navigation-traffic-routes.js,26-input-player-physics.js,1,updateRouteGuide,groundHeightAt
08-map-parent-settings.js,02-state-save-cloud-account.js,8,clearWaypoint | openFinalResetConfirmation | openParentGate | openParentTools | openSettings | setWaypoint,accountLinked | accountStatusText | commitState | normalizeState | saveState
08-map-parent-settings.js,03-ui-modal-install-pwa.js,20,clearWaypoint | openFinalResetConfirmation | openMap | openParentGate | openParentTools | openSettings | setWaypoint,closeModal | confirmModal | openAccountCenter | openModal | toast
08-map-parent-settings.js,04-education-daily-quiz.js,2,openSettings,openEducationHub
08-map-parent-settings.js,06-missions-profile-hud-inventory-tools.js,3,openSettings,hasValidPlayerName | openPlayerNameModal
08-map-parent-settings.js,07-navigation-traffic-routes.js,6,clearWaypoint | openMap | setWaypoint,buildRoutePoints | routeProgressInfo | routeSvgMarkup | updateNavigation
08-map-parent-settings.js,09-responsive-ar-quality-diagnostics.js,5,openSettings,qualityLabel | qualityTier | requestedQuality
08-map-parent-settings.js,13-houses-npcs-vehicles-base.js,2,clearWaypoint | setWaypoint,updateWaypointMarker
08-map-parent-settings.js,25-render-init-resize-position-collision.js,3,openSettings,applyQuality | returnHome | savePlayerPosition
08-map-parent-settings.js,28-multiplayer-social-online.js,2,openSettings,closeChallengePrompt | multiplayerStatusText
08-map-parent-settings.js,30-pause-tests-public-api-bootstrap.js,1,openSettings,stopGame
09-responsive-ar-quality-diagnostics.js,02-state-save-cloud-account.js,4,samplePerformance | syncMobilePanels,saveState
09-responsive-ar-quality-diagnostics.js,03-ui-modal-install-pwa.js,3,openAndroidSceneViewer | samplePerformance,openModal | toast
09-responsive-ar-quality-diagnostics.js,06-missions-profile-hud-inventory-tools.js,1,syncMobilePanels,openObjectivesPanel
09-responsive-ar-quality-diagnostics.js,25-render-init-resize-position-collision.js,1,applyAdaptiveRenderSettings,scheduleStableResize
