occurrence,module,functionBoundaryOwner,line,column,snippet
1,31-neighborhood-world-controller.js,,0,77,"const ROOM_WORLD_LAYOUTS=new Map((window.OTTHI_CONFIG?.rooms||[]).map(room=>[room.id,{...room,shortName:String(room.name||'Bairro').replace('Bairro da ','').replace('Bairro do ','').replace('Bairro ','')}]))"
2,31-neighborhood-world-controller.js,roomHouseMarkers,3,122,"function roomHouseMarkers(){const mineUid=window.OTTHOS_RTDB?.uid||'';return [...cloudHouses.entries()].map(([id,data])=>{const local=world.houses.find(h=>h.id===id);const x=Number.isFinite(Number(data.x))&&Number(data.x)!==0?Number(data.x):Number(local?.x||0),z=Number.isFinite(Number(data.z))&&Number(data.z)!==0?Number(data.z):Number(local?.z||0);return{id,name:data.name||`Casa de ${data.ownerName||'Jogador'}`,ownerName:data.ownerName||'Jogador',ownerUid:data.ownerUid||'',x,z,mine:data.ownerUid===mineUid,locked:!!data.locked};}).filter(item=>Number.isFinite(item.x)&&Number.isFinite(item.z));}"
3,31-neighborhood-world-controller.js,roomHouseMarkers,3,156,"function roomHouseMarkers(){const mineUid=window.OTTHOS_RTDB?.uid||'';return [...cloudHouses.entries()].map(([id,data])=>{const local=world.houses.find(h=>h.id===id);const x=Number.isFinite(Number(data.x))&&Number(data.x)!==0?Number(data.x):Number(local?.x||0),z=Number.isFinite(Number(data.z))&&Number(data.z)!==0?Number(data.z):Number(local?.z||0);return{id,name:data.name||`Casa de ${data.ownerName||'Jogador'}`,ownerName:data.ownerName||'Jogador',ownerUid:data.ownerUid||'',x,z,mine:data.ownerUid===mineUid,locked:!!data.locked};}).filter(item=>Number.isFinite(item.x)&&Number.isFinite(item.z));}"
4,31-neighborhood-world-controller.js,roomHouseMarkers,3,550,"function roomHouseMarkers(){const mineUid=window.OTTHOS_RTDB?.uid||'';return [...cloudHouses.entries()].map(([id,data])=>{const local=world.houses.find(h=>h.id===id);const x=Number.isFinite(Number(data.x))&&Number(data.x)!==0?Number(data.x):Number(local?.x||0),z=Number.isFinite(Number(data.z))&&Number(data.z)!==0?Number(data.z):Number(local?.z||0);return{id,name:data.name||`Casa de ${data.ownerName||'Jogador'}`,ownerName:data.ownerName||'Jogador',ownerUid:data.ownerUid||'',x,z,mine:data.ownerUid===mineUid,locked:!!data.locked};}).filter(item=>Number.isFinite(item.x)&&Number.isFinite(item.z));}"
5,31-neighborhood-world-controller.js,mapHouseLocations,4,63,"function mapHouseLocations(){return roomHouseMarkers().map(h=>({id:`online-house-${h.id}`,houseId:h.id,name:h.name,icon:h.mine?'🏠':'🏡',x:h.x,z:h.z,navX:h.x,navZ:h.z,group:'Casas online',onlineHouse:true}));}"
6,31-neighborhood-world-controller.js,mapRegionsMarkup,5,96,"function mapRegionsMarkup(project=worldToMap){return[...ROOM_WORLD_LAYOUTS.values()].map(room=>{const a=project(room.bounds.xMin,room.bounds.zMax),b=project(room.bounds.xMax,room.bounds.zMin),left=Math.min(a.left,b.left),top=Math.min(a.top,b.top),width=Math.abs(b.left-a.left),height=Math.abs(b.top-a.top),active=room.id===(window.OTTHOS_RTDB?.getRoom?.()||window.OTTHI_CONFIG?.defaultRoom);return`<span class=""map-neighborhood-region ${active?'active':''}"" style=""left:${left.toFixed(2)}%;top:${top.toFixed(2)}%;width:${width.toFixed(2)}%;height:${height.toFixed(2)}%;--room-accent:${room.accent||'#66e7ff'}"" title=""${escapeHtml(room.name)}""><b>${room.icon}</b><em>${room.shortName}</em></span>`;}).join('');}"
7,00-runtime-foundation.js,clearRemoteRoomEntities,9,34,"const $ = (s, root = document) => root.querySelector(s);"
8,00-runtime-foundation.js,clearRemoteRoomEntities,10,35,"const $$ = (s, root = document) => [...root.querySelectorAll(s)];"
9,00-runtime-foundation.js,resetMobilityForRoomChange,11,27,"const clamp = (v, a, b) => Math.max(a, Math.min(b, v));"
10,00-runtime-foundation.js,resetMobilityForRoomChange,12,26,"const lerp = (a, b, t) => a + (b - a) * t;"
11,00-runtime-foundation.js,resetMobilityForRoomChange,13,43,"const approachNumber=(value,target,step)=>value<target?Math.min(target,value+Math.abs(step)):Math.max(target,value-Math.abs(step));"
12,00-runtime-foundation.js,resetMobilityForRoomChange,14,31,"const lerpAngle = (a, b, t) => { let d=((b-a+Math.PI)%(Math.PI*2))-Math.PI; if(d<-Math.PI)d+=Math.PI*2; return a+d*t; };"
13,00-runtime-foundation.js,resetMobilityForRoomChange,15,29,"const distance2D = (a, b) => Math.hypot(a.x - b.x, a.z - b.z);"
14,00-runtime-foundation.js,canChangeRoom,16,18,const uid = () => (crypto.randomUUID ? crypto.randomUUID() : `p-${Date.now()}-${Math.random().toString(16).slice(2)}`);
15,00-runtime-foundation.js,focusCurrentRoom,17,47,"const safePointerCapture=(element,pointerId)=>{try{if(element?.setPointerCapture&&Number.isInteger(pointerId))element.setPointerCapture(pointerId);return true;}catch{return false;}};"
16,00-runtime-foundation.js,applyRoomWorld,18,47,"const safePointerRelease=(element,pointerId)=>{try{if(element?.hasPointerCapture?.(pointerId))element.releasePointerCapture(pointerId);return true;}catch{return false;}};"
17,00-runtime-foundation.js,applyRoomWorld,22,28,const safeLocalGet = key => { try { return window.localStorage?.getItem(key) ?? null; } catch { return null; } };
