type,module,sourceLine,snippet
if,00-runtime-foundation.js,14,"const lerpAngle = (a, b, t) => { let d=((b-a+Math.PI)%(Math.PI*2))-Math.PI; if(d<-Math.PI)d+=Math.PI*2; return a+d*t; };"
if,00-runtime-foundation.js,17,"const safePointerCapture=(element,pointerId)=>{try{if(element?.setPointerCapture&&Number.isInteger(pointerId))element.setPointerCapture(pointerId);return true;}catch{return false;}};"
catch,00-runtime-foundation.js,17,"const safePointerCapture=(element,pointerId)=>{try{if(element?.setPointerCapture&&Number.isInteger(pointerId))element.setPointerCapture(pointerId);return true;}catch{return false;}};"
if,00-runtime-foundation.js,18,"const safePointerRelease=(element,pointerId)=>{try{if(element?.hasPointerCapture?.(pointerId))element.releasePointerCapture(pointerId);return true;}catch{return false;}};"
catch,00-runtime-foundation.js,18,"const safePointerRelease=(element,pointerId)=>{try{if(element?.hasPointerCapture?.(pointerId))element.releasePointerCapture(pointerId);return true;}catch{return false;}};"
catch,00-runtime-foundation.js,22,const safeLocalGet = key => { try { return window.localStorage?.getItem(key) ?? null; } catch { return null; } };
catch,00-runtime-foundation.js,23,"const safeLocalSet = (key, value) => { try { window.localStorage?.setItem(key, value); return true; } catch { return false; } };"
catch,00-runtime-foundation.js,24,const safeLocalRemove = key => { try { window.localStorage?.removeItem(key); return true; } catch { return false; } };
for,01-build-persistence.js,30,"for(let i=0;i<source.length;i++){hash^=source.charCodeAt(i);hash=Math.imul(hash,16777619);}"
if,01-build-persistence.js,34,if(!item||typeof item!=='object')return null;
if,01-build-persistence.js,36,if(!type||!Number.isFinite(x)||!Number.isFinite(z))return null;
if,01-build-persistence.js,43,"const record=normalizeBuildRecord(item,index);if(!record)return;"
if,01-build-persistence.js,45,"if(!previous||Number(record.updatedAt||record.createdAt||0)>=Number(previous.updatedAt||previous.createdAt||0))byId.set(record.id,record);"
if,01-build-persistence.js,52,if(!item)return;const id=String(typeof item==='string'?item:item.id||'').trim();if(!id)return;
if,01-build-persistence.js,54,"const previous=byId.get(id);if(!previous||removedAt>=previous.removedAt)byId.set(id,{id,removedAt});"
if,01-build-persistence.js,69,"if(!item||typeof item!=='object')return;const id=String(item.id||`entity-${index}-${Number(item.createdAt||0)}`),stamp=Number(item.updatedAt||item.createdAt||0),previous=byId.get(id);"
if,01-build-persistence.js,70,"if(!previous||stamp>=Number(previous.updatedAt||previous.createdAt||0))byId.set(id,{...item,id});"
if,02-state-save-cloud-account.js,147,if (oldFriendship.otto !== undefined && oldFriendship.nino === undefined) friendship.nino = oldFriendship.otto;
if,02-state-save-cloud-account.js,150,if (flags.talkedOtto && !flags.talkedNeighbor) flags.talkedNeighbor = true;
if,02-state-save-cloud-account.js,201,if (!raw) {
for,02-state-save-cloud-account.js,202,for (const key of LEGACY_STORAGE_KEYS) {
if,02-state-save-cloud-account.js,204,if (raw) break;
if,02-state-save-cloud-account.js,207,if (!raw) return fresh;
catch,02-state-save-cloud-account.js,210,} catch (error) {
if,02-state-save-cloud-account.js,217,if(state.career?.activeJob){const legacyJob=state.career.activeJob;legacyJob.instanceId=legacyJob.instanceId||`legacy-${legacyJob.id||'job'}-${Number(legacyJob.startedAt||Date.now())}`;legacyJob.missionState=legacyJob.missionState||'TRAVELLING';legacyJob.rewardClaimed=!!legacyJob.rewardClaimed;legacyJob.previousUniform=legacyJob.previousUniform||'none';legacyJob.previousPackage=Number(legacyJob.previousPackage||0);}
if,02-state-save-cloud-account.js,219,if(accountSession){
if,02-state-save-cloud-account.js,222,if(!state.profile.nameConfirmed){
if,02-state-save-cloud-account.js,224,if(legacyName&&legacyName.toLowerCase()!=='otthos'){state.profile.name=legacyName;state.profile.nameConfirmed=true;}
else,02-state-save-cloud-account.js,225,else{state.profile.name='';state.profile.nameConfirmed=false;}
if,02-state-save-cloud-account.js,229,if (window.OTTHOS_DB) {
if,02-state-save-cloud-account.js,231,if (saved && saved.profile) {
if,02-state-save-cloud-account.js,233,"if(accountSession)state.account={...(state.account||{}),linked:true,accountId:accountSession.accountId,username:accountSession.username||state.account?.username||''};"
else,02-state-save-cloud-account.js,235,} else {
catch,02-state-save-cloud-account.js,236,window.OTTHOS_DB.save(state).catch(console.warn);
catch,02-state-save-cloud-account.js,241,"}).catch(error => { console.warn('IndexedDB indisponível; usando armazenamento local.', error); return state; });"
