function,module,description,startLine,endBoundaryLine,bodyBoundarySha256,callOccurrences,if,else,switch,case,for,while,catch,return,throw,ternaryTokensApprox,calls
stableBuildId,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",27,32,ce3555674ee96f5630c7f2d0c350b71e53e130e8a18f9841bb756c408c7a61bf,0,0,0,0,0,1,0,0,1,0,0,
normalizeBuildRecord,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",33,39,2eebf9ce7229e95ba1b69ca9de450839f47202f184b8d2c4d3f977b602d3cfcf,1,2,0,0,0,0,0,0,3,0,1,stableBuildId
normalizeBuildList,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",40,48,3a18ac16dd7a7d5191ae56587aee227bf94d681b49c10e519bc5b9407600c464,1,2,0,0,0,0,0,0,2,0,1,normalizeBuildRecord
normalizeBuildTombstones,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",49,57,dff0040336cb50a01eae62311ecad59a80d58625d5ba7fb546f6b8e933c0f03b,0,3,0,0,0,0,0,0,3,0,3,
mergeBuildTombstones,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",58,58,6cad60d049d9f93dd676ff8649102dbd26b69cb0178af1c42f813bd3692c0e0f,1,0,0,0,0,0,0,0,1,0,0,normalizeBuildTombstones
applyBuildTombstones,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",59,62,d18192d829fa546a7d4e37df2c55451ce210cd22ddf16b3824b74441152100f6,2,0,0,0,0,0,0,0,1,0,0,normalizeBuildList | normalizeBuildTombstones
mergeBuildCollections,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",63,65,6f045312fb41bba92450712099fd7b645be116adb18255ea6b92d2613fcd217b,2,0,0,0,0,0,0,0,1,0,0,applyBuildTombstones | normalizeBuildList
mergeEntityCollections,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",66,142,d45530e3fff807ee12c57f9e6e4f7be38aaaadb9d5af310aacc29ea6c2319618,0,2,0,0,0,0,0,0,2,0,2,
normalizeState,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",143,196,7f166d3851a48e191cf5fbfec7325d56b175c19ed974c17b543a0081a50b41f3,2,2,0,0,0,0,0,0,1,0,47,applyBuildTombstones | normalizeBuildTombstones
loadState,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",197,245,038a1f5e105125a59df4ae0647b11c6c7a40e176b4fc05572e99d411195ac5ab,6,10,2,0,0,1,0,4,5,0,5,ensureDailyChallenges | normalizeState | updateDailyBadge | updateHUD | updateLobbyStats
commitState,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",246,262,023e9ab7e3cc6c20286dc2daf78f8e1f5e3f833e30aa9f3a5baa93dfb94ed37e,7,0,0,0,0,0,0,2,2,0,1,applyBuildTombstones | ensureDailyChallenges | normalizeBuildTombstones | syncCloudProgress | syncGameAccount | updateDailyBadge | updateLobbyStats
saveState,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",263,270,e8ccd3f1f8819254e66392f2f7ccf4aa3994b747245187aa41d8b272ace78b05,1,1,0,0,0,0,0,0,2,0,0,commitState
cloudProgressPayload,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",271,279,be80c347492f37fa13c730513bbedaede20d0304aa464b023a74866f839ef4a7,0,0,0,0,0,0,0,0,1,0,15,
syncCloudProgress,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",280,283,8adb4408e593f8a7a0aa4ae2de439f4a26e3e5f00f4b7b6047d4e3e0d4531990,2,1,0,0,0,0,0,0,2,0,2,cloudProgressPayload | hasValidPlayerName
mergeCloudProgress,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",284,304,c03a7e324023153e5f2f81a32c08cf05f4d9ab9f9b513d5f485bdf446975637d,10,3,0,0,0,0,0,1,3,0,34,mergeBuildCollections | mergeBuildTombstones | mergeEntityCollections | normalizeState | reconcileWorldBuilds | syncCloudProgress | toast | updateHUD | updateLobbyStats | updatePlayerNameUI
