function,module,description,sourceStartLine,sourceEndLineApprox,callCountApprox,if,else,switch,case,for,while,catch,ternaryApprox,calledByBody
stableBuildId,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",27,32,0,0,0,0,0,1,0,0,0,
normalizeBuildRecord,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",33,39,1,2,0,0,0,0,0,0,1,stableBuildId
normalizeBuildList,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",40,48,1,2,0,0,0,0,0,0,1,normalizeBuildRecord
normalizeBuildTombstones,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",49,57,0,3,0,0,0,0,0,0,3,
mergeBuildTombstones,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",58,58,1,0,0,0,0,0,0,0,0,normalizeBuildTombstones
applyBuildTombstones,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",59,62,2,0,0,0,0,0,0,0,0,normalizeBuildList | normalizeBuildTombstones
mergeBuildCollections,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",63,65,2,0,0,0,0,0,0,0,0,applyBuildTombstones | normalizeBuildList
mergeEntityCollections,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",66,142,0,2,0,0,0,0,0,0,2,
normalizeState,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",143,196,2,2,0,0,0,0,0,0,47,applyBuildTombstones | normalizeBuildTombstones
loadState,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",197,245,6,10,2,0,0,1,0,4,5,ensureDailyChallenges | normalizeState | updateDailyBadge | updateHUD | updateLobbyStats
commitState,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",246,262,7,0,0,0,0,0,0,2,1,applyBuildTombstones | ensureDailyChallenges | normalizeBuildTombstones | syncCloudProgress | syncGameAccount | updateDailyBadge | updateLobbyStats
saveState,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",263,270,1,1,0,0,0,0,0,0,0,commitState
cloudProgressPayload,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",271,279,0,0,0,0,0,0,0,0,15,
syncCloudProgress,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",280,283,2,1,0,0,0,0,0,0,2,cloudProgressPayload | hasValidPlayerName
mergeCloudProgress,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",284,304,10,3,0,0,0,0,0,1,34,mergeBuildCollections | mergeBuildTombstones | mergeEntityCollections | normalizeState | reconcileWorldBuilds | syncCloudProgress | toast | updateHUD | updateLobbyStats | updatePlayerNameUI
